"feature","mean","sd"
"Age",54.3393541324576,17.8650411015069
"arr_GCS_derived",10.1083743842365,4.54649473635345
"arr_pp_sizebilaterally mydriatic",0.0722495894909688,0.258971609902693
"arr_pp_promptbilateral absence",0.209633278598796,0.407158328997717
"head_neck_AIS4",0.233716475095785,0.423309772884269
"head_neck_AIS5",0.399014778325123,0.489829880051797
"EDHpresent",0.291187739463602,0.454434233307333
"SAHpresent",0.658456486042693,0.474357146871283
"IVHpresent",0.143951833607006,0.351136995137969
"MidlineShiftpresent",0.221674876847291,0.415487200576314
"basal_cistern_compressionpresent",0.194854953475643,0.396197449145019
