"feature","mean","sd"
"Age",54.3980848153215,17.7478404782381
"arr_GCS_derived",10.1019151846785,4.52174112533814
"arr_pp_sizebilaterally mydriatic",0.06703146374829,0.250162050904974
"arr_pp_promptbilateral absence",0.203830369357045,0.402982167001238
"head_neck_AIS4",0.239398084815321,0.426862124480462
"head_neck_AIS5",0.401504787961696,0.490370440276649
"EDHpresent",0.296169630642955,0.456722956455954
"SAHpresent",0.666210670314637,0.471726848706157
"IVHpresent",0.150478796169631,0.357662447445327
"MidlineShiftpresent",0.225718194254446,0.418197458426171
"basal_cistern_compressionpresent",0.197674418604651,0.39838147308757
