"feature","mean","sd"
"Age",54.3393541324576,17.8650411015069
"arr_statusComa",0.115489874110564,0.3196997124071
"arr_statusDrowsy",0.257799671592775,0.437542897086322
"arr_statusSemicoma",0.21784345922277,0.412893446887524
"arr_statusStupor",0.156540777230432,0.363466739931176
"Upper_Lower_Extremities_imputedBoth Bilateral",0.283524904214559,0.450832319972874
"arr_pp_sizebilaterally mydriatic",0.0722495894909688,0.258971609902693
"arr_pp_promptbilateral absence",0.209633278598796,0.407158328997717
"head_neck_AIS4",0.233716475095785,0.423309772884269
"head_neck_AIS5",0.399014778325123,0.489829880051797
"EDHpresent",0.291187739463602,0.454434233307333
"SAHpresent",0.658456486042693,0.474357146871283
"IVHpresent",0.143951833607006,0.351136995137969
"MidlineShiftpresent",0.221674876847291,0.415487200576314
"basal_cistern_compressionpresent",0.194854953475643,0.396197449145019
"facial_fracturepresent",0.310344827586207,0.462761416460377
