"feature","mean","sd"
"Age",54.3980848153215,17.7478404782381
"arr_statusComa",0.112175102599179,0.315689746209086
"arr_statusDrowsy",0.258549931600547,0.43798753092415
"arr_statusSemicoma",0.22093023255814,0.415015511353176
"arr_statusStupor",0.162106703146375,0.368674774323742
"Upper_Lower_Extremities_imputedBoth Bilateral",0.280437756497948,0.449366821887386
"arr_pp_sizebilaterally mydriatic",0.06703146374829,0.250162050904974
"arr_pp_promptbilateral absence",0.203830369357045,0.402982167001238
"head_neck_AIS4",0.239398084815321,0.426862124480462
"head_neck_AIS5",0.401504787961696,0.490370440276649
