"feature","mean","sd"
"Age",54.3393541324576,17.8650411015069
"arr_GCS_derived",10.1083743842365,4.54649473635345
"arr_pp_sizebilaterally mydriatic",0.0722495894909688,0.258971609902693
"arr_pp_promptbilateral absence",0.209633278598796,0.407158328997717
"head_neck_AIS4",0.233716475095785,0.423309772884269
"head_neck_AIS5",0.399014778325123,0.489829880051797
"EDHpresent",0.291187739463602,0.454434233307333
"SAHpresent",0.658456486042693,0.474357146871283
"IVHpresent",0.143951833607006,0.351136995137969
"MidlineShiftpresent",0.221674876847291,0.415487200576314
"basal_cistern_compressionpresent",0.194854953475643,0.396197449145019
"ns(Alk.Phosphatase, df = 4)1",0.458790147578733,0.284259683063057
"ns(Alk.Phosphatase, df = 4)2",0.0391151559743008,0.239168898864874
"ns(Alk.Phosphatase, df = 4)3",0.251610351247198,0.154731483328265
"ns(Alk.Phosphatase, df = 4)4",-0.091512976175891,0.164338355033438
"ns(Albumin, df = 4)1",0.459179252944647,0.279049666192157
"ns(Albumin, df = 4)2",0.148407825604798,0.265444285145803
"ns(Albumin, df = 4)3",0.218030355482488,0.119368609143771
"ns(Albumin, df = 4)4",-0.0602821746233979,0.140534650991835
"ns(CRP, df = 4)1",0.214413754392185,0.262078142440972
"ns(CRP, df = 4)2",0.0272739395876079,0.234144039071843
"ns(CRP, df = 4)3",0.255608327484622,0.181839828798979
"ns(CRP, df = 4)4",-0.0454880630393535,0.249696060283671
"ns(aPTT, df = 4)1",0.553251589079146,0.295970069439631
"ns(aPTT, df = 4)2",-0.00922728761205296,0.202598806215656
"ns(aPTT, df = 4)3",0.235263669817183,0.166709132360431
"ns(aPTT, df = 4)4",-0.0895244468268745,0.151355610370044
