"term","key","idx","value"
"Alk.Phosphatase","df",NA,"4"
"Alk.Phosphatase","knots",1,"53"
"Alk.Phosphatase","knots",2,"65"
"Alk.Phosphatase","knots",3,"81"
"Alk.Phosphatase","Boundary.knots",1,"30"
"Alk.Phosphatase","Boundary.knots",2,"180"
"Alk.Phosphatase","intercept",NA,"FALSE"
"Albumin","df",NA,"4"
"Albumin","knots",1,"3.8"
"Albumin","knots",2,"4.2"
"Albumin","knots",3,"4.4"
"Albumin","Boundary.knots",1,"2.2"
"Albumin","Boundary.knots",2,"5.2"
"Albumin","intercept",NA,"FALSE"
"CRP","df",NA,"4"
"CRP","knots",1,"0.14"
"CRP","knots",2,"1.44"
"CRP","knots",3,"8.415"
"CRP","Boundary.knots",1,"0.02"
"CRP","Boundary.knots",2,"30"
"CRP","intercept",NA,"FALSE"
"aPTT","df",NA,"4"
"aPTT","knots",1,"27"
"aPTT","knots",2,"30"
"aPTT","knots",3,"34"
"aPTT","Boundary.knots",1,"20"
"aPTT","Boundary.knots",2,"100"
"aPTT","intercept",NA,"FALSE"
