"feature","mean","sd"
"Age",54.3980848153215,17.7478404782381
"arr_GCS_derived",10.1019151846785,4.52174112533814
"arr_pp_sizebilaterally mydriatic",0.06703146374829,0.250162050904974
"arr_pp_promptbilateral absence",0.203830369357045,0.402982167001238
"head_neck_AIS4",0.239398084815321,0.426862124480462
"head_neck_AIS5",0.401504787961696,0.490370440276649
"EDHpresent",0.296169630642955,0.456722956455954
"SAHpresent",0.666210670314637,0.471726848706157
"IVHpresent",0.150478796169631,0.357662447445327
"MidlineShiftpresent",0.225718194254446,0.418197458426171
"basal_cistern_compressionpresent",0.197674418604651,0.39838147308757
"ns(Alk.Phosphatase, df = 4)1",0.464076726476072,0.285927725582886
"ns(Alk.Phosphatase, df = 4)2",0.0450146354674242,0.23747566640277
"ns(Alk.Phosphatase, df = 4)3",0.245303272534239,0.151979284228509
"ns(Alk.Phosphatase, df = 4)4",-0.0876029035850567,0.162953373277029
"ns(Albumin, df = 4)1",0.460656934549718,0.279414834658306
"ns(Albumin, df = 4)2",0.145913820106527,0.265201931807278
"ns(Albumin, df = 4)3",0.217705056313958,0.120155659484215
"ns(Albumin, df = 4)4",-0.0626234200984219,0.135479454850768
"ns(CRP, df = 4)1",0.217417216420016,0.263017150969165
"ns(CRP, df = 4)2",0.0294206129018485,0.234018587612071
"ns(CRP, df = 4)3",0.252735397496136,0.181422862959304
"ns(CRP, df = 4)4",-0.0440543375603042,0.249444053983113
"ns(aPTT, df = 4)1",0.553593589829572,0.29660812608284
"ns(aPTT, df = 4)2",-0.00866370723201918,0.202580710933317
"ns(aPTT, df = 4)3",0.233690539354307,0.165411743832914
"ns(aPTT, df = 4)4",-0.0885840585692971,0.152094357106763
