"feature","mean","sd"
"Age",54.8112554112554,17.7830107992887
"InjuryHx.InjCause1",0.431601731601732,0.495406825481963
"InjuryHx.InjCause3",0.0627705627705628,0.242602345338492
"InjuryHx.InjCause88",0.061038961038961,0.239453602878216
"arr_GCS_derived",10.2822510822511,4.48064855510812
"arr_pp_promptbilateral absence",0.18961038961039,0.3920775909317
"head_neck_AIS4",0.233766233766234,0.423316850885358
"head_neck_AIS5",0.394372294372294,0.488821263581333
"EDHpresent",0.296969696969697,0.457022007765467
"contusionpresent",0.646320346320346,0.478214759259786
"SAHpresent",0.667965367965368,0.471045314921138
"IVHpresent",0.146753246753247,0.35393638012212
"MidlineShiftpresent",0.21991341991342,0.414277448747197
"basal_cistern_compressionpresent",0.208225108225108,0.406126599244618
