"feature","mean","sd"
"Age",54.5700378583018,17.7135574941991
"InjuryHx.InjCause1",0.432125473228772,0.495505637769948
"InjuryHx.InjCause3",0.0594916170903191,0.236606512674233
"InjuryHx.InjCause88",0.0659816116819903,0.248317109977493
"arr_GCS_derived",10.2282314764738,4.49937984645292
"arr_pp_promptbilateral absence",0.190373174689021,0.392701710452816
"head_neck_AIS4",0.237966468361276,0.425953700714147
"head_neck_AIS5",0.38939967550027,0.487746071562417
"EDHpresent",0.297458085451595,0.457263442142884
"contusionpresent",0.640886965927528,0.479870194262913
"SAHpresent",0.667387777176852,0.471276407026937
"IVHpresent",0.148729042725798,0.355917442372317
"MidlineShiftpresent",0.224445646295295,0.41732959608456
"basal_cistern_compressionpresent",0.204975662520281,0.403793044094762
