"feature","mean","sd"
"Age",54.8112554112554,17.7830107992887
"InjuryHx.InjCause1",0.431601731601732,0.495406825481963
"InjuryHx.InjCause3",0.0627705627705628,0.242602345338492
"InjuryHx.InjCause88",0.061038961038961,0.239453602878216
"arr_statusComa",0.103030303030303,0.30406427533249
"arr_statusDrowsy",0.265800865800866,0.441854368518514
"arr_statusSemicoma",0.210822510822511,0.407980925231466
"arr_statusStupor",0.163203463203463,0.36963121999187
"Upper_Lower_Extremities_imputedBoth Bilateral",0.26969696969697,0.443898429206561
"arr_pp_promptbilateral absence",0.18961038961039,0.3920775909317
"head_neck_AIS4",0.233766233766234,0.423316850885358
"head_neck_AIS5",0.394372294372294,0.488821263581333
