"feature","mean","sd"
"Age",54.5700378583018,17.7135574941991
"InjuryHx.InjCause1",0.432125473228772,0.495505637769948
"InjuryHx.InjCause3",0.0594916170903191,0.236606512674233
"InjuryHx.InjCause88",0.0659816116819903,0.248317109977493
"arr_statusComa",0.103839913466739,0.30513528386275
"arr_statusDrowsy",0.2644672796106,0.441168448229731
"arr_statusSemicoma",0.212547322877231,0.409220633784996
"arr_statusStupor",0.164413196322336,0.370750371320678
"Upper_Lower_Extremities_imputedBoth Bilateral",0.27203893996755,0.445130223902822
"arr_pp_promptbilateral absence",0.190373174689021,0.392701710452816
"head_neck_AIS4",0.237966468361276,0.425953700714147
"head_neck_AIS5",0.38939967550027,0.487746071562417
