"feature","mean","sd"
"Age",54.8112554112554,17.7830107992887
"InjuryHx.InjCause1",0.431601731601732,0.495406825481963
"InjuryHx.InjCause3",0.0627705627705628,0.242602345338492
"InjuryHx.InjCause88",0.061038961038961,0.239453602878216
"arr_statusComa",0.103030303030303,0.30406427533249
"arr_statusDrowsy",0.265800865800866,0.441854368518514
"arr_statusSemicoma",0.210822510822511,0.407980925231466
"arr_statusStupor",0.163203463203463,0.36963121999187
"Upper_Lower_Extremities_imputedBoth Bilateral",0.26969696969697,0.443898429206561
"arr_pp_promptbilateral absence",0.18961038961039,0.3920775909317
"head_neck_AIS4",0.233766233766234,0.423316850885358
"head_neck_AIS5",0.394372294372294,0.488821263581333
"EDHpresent",0.296969696969697,0.457022007765467
"contusionpresent",0.646320346320346,0.478214759259786
"SAHpresent",0.667965367965368,0.471045314921138
"IVHpresent",0.146753246753247,0.35393638012212
"MidlineShiftpresent",0.21991341991342,0.414277448747197
"basal_cistern_compressionpresent",0.208225108225108,0.406126599244618
"ns(Alk.Phosphatase, df = 4)1",0.462693658861099,0.28404387140178
"ns(Alk.Phosphatase, df = 4)2",0.038433999936991,0.238527155117469
"ns(Alk.Phosphatase, df = 4)3",0.251871677126471,0.153166311698713
"ns(Alk.Phosphatase, df = 4)4",-0.0912845761853015,0.162290083598354
"ns(CRP, df = 4)1",0.225881144522035,0.268034862662159
"ns(CRP, df = 4)2",0.0303714186835694,0.236357107407853
"ns(CRP, df = 4)3",0.252899309446367,0.178895982708281
"ns(CRP, df = 4)4",-0.050530366954453,0.236691103368109
"ns(Sodium, df = 4)1",0.508970444238301,0.261329151058959
"ns(Sodium, df = 4)2",0.113928934372851,0.253147640173775
"ns(Sodium, df = 4)3",0.216187825568686,0.121748895711181
"ns(Sodium, df = 4)4",-0.0756714136211908,0.131428829454372
"ns(aPTT, df = 4)1",0.559271492496601,0.298842532725417
"ns(aPTT, df = 4)2",-0.0135284858546759,0.19751690705117
"ns(aPTT, df = 4)3",0.231160512180589,0.166381577006634
"ns(aPTT, df = 4)4",-0.0907909904778423,0.144561831685163
