"feature","mean","sd"
"Age",54.5700378583018,17.7135574941991
"InjuryHx.InjCause1",0.432125473228772,0.495505637769948
"InjuryHx.InjCause3",0.0594916170903191,0.236606512674233
"InjuryHx.InjCause88",0.0659816116819903,0.248317109977493
"arr_statusComa",0.103839913466739,0.30513528386275
"arr_statusDrowsy",0.2644672796106,0.441168448229731
"arr_statusSemicoma",0.212547322877231,0.409220633784996
"arr_statusStupor",0.164413196322336,0.370750371320678
"Upper_Lower_Extremities_imputedBoth Bilateral",0.27203893996755,0.445130223902822
"arr_pp_promptbilateral absence",0.190373174689021,0.392701710452816
"head_neck_AIS4",0.237966468361276,0.425953700714147
"head_neck_AIS5",0.38939967550027,0.487746071562417
"EDHpresent",0.297458085451595,0.457263442142884
"contusionpresent",0.640886965927528,0.479870194262913
"SAHpresent",0.667387777176852,0.471276407026937
"IVHpresent",0.148729042725798,0.355917442372317
"MidlineShiftpresent",0.224445646295295,0.41732959608456
"basal_cistern_compressionpresent",0.204975662520281,0.403793044094762
"ns(Alk.Phosphatase, df = 4)1",0.46091730971662,0.284220399004086
"ns(Alk.Phosphatase, df = 4)2",0.0409613813972494,0.239729151345616
"ns(Alk.Phosphatase, df = 4)3",0.251892518473067,0.152774121472186
"ns(Alk.Phosphatase, df = 4)4",-0.0883845267041795,0.166753579220975
"ns(CRP, df = 4)1",0.22777753723479,0.268571802496465
"ns(CRP, df = 4)2",0.0327598553288591,0.237354959956237
"ns(CRP, df = 4)3",0.252880877973274,0.178889079640133
"ns(CRP, df = 4)4",-0.0508602316407368,0.234581125287875
"ns(Sodium, df = 4)1",0.512033209714389,0.257107339933462
"ns(Sodium, df = 4)2",0.113437581587227,0.252818142123263
"ns(Sodium, df = 4)3",0.215677822519653,0.122109980861791
"ns(Sodium, df = 4)4",-0.0766974304274141,0.131598419826662
"ns(aPTT, df = 4)1",0.557821023271943,0.299531963221577
"ns(aPTT, df = 4)2",-0.00997632179127131,0.199990533593526
"ns(aPTT, df = 4)3",0.230433561378703,0.165887067962555
"ns(aPTT, df = 4)4",-0.0886105853502965,0.147411673178709
