"feature","mean","sd"
"Age",55.1076414401176,17.826509471378
"InjuryHx.InjCause1",0.417707567964732,0.493272079899687
"InjuryHx.InjCause3",0.0602498163115356,0.237992824240346
"InjuryHx.InjCause88",0.0635562086700955,0.244005512541637
"arr_GCS_derived",10.4739162380602,4.41467966729523
"arr_pp_sizebilaterally mydriatic",0.0558412931667891,0.229657178185958
"arr_pp_promptbilateral absence",0.172299779573843,0.377710176397017
"head_neck_AIS4",0.237692872887583,0.425748238260729
"head_neck_AIS5",0.384276267450404,0.486513076902751
"EDHpresent",0.302351212343865,0.459360945068361
"contusionpresent",0.650624540778839,0.47686034400152
"SAHpresent",0.673769287288758,0.468918986048567
"IVHpresent",0.145113886847906,0.352280341059785
"MidlineShiftpresent",0.224467303453343,0.417307692536228
"basal_cistern_compressionpresent",0.210506980161646,0.407743632284154
