"feature","mean","sd"
"Age",55.1528925619835,17.9008919435146
"InjuryHx.InjCause1",0.413682277318641,0.492605993871304
"InjuryHx.InjCause3",0.0606060606060606,0.238661094551177
"InjuryHx.InjCause88",0.061524334251607,0.240344779153741
"arr_GCS_derived",10.5027548209366,4.41103990788298
"arr_pp_sizebilaterally mydriatic",0.0550964187327824,0.228220764583901
"arr_pp_promptbilateral absence",0.173094582185491,0.378415902878973
"head_neck_AIS4",0.241505968778696,0.428094591794131
"head_neck_AIS5",0.383838383838384,0.486430999879794
"EDHpresent",0.301652892561983,0.459080810358583
"contusionpresent",0.651056014692378,0.476745672237661
"SAHpresent",0.672176308539945,0.469527995429666
"IVHpresent",0.139118457300275,0.346149571276639
"MidlineShiftpresent",0.225895316804408,0.418266598278839
"basal_cistern_compressionpresent",0.210743801652893,0.407930454141778
