"feature","mean","sd"
"Age",55.1076414401176,17.826509471378
"InjuryHx.InjCause1",0.417707567964732,0.493272079899687
"InjuryHx.InjCause3",0.0602498163115356,0.237992824240346
"InjuryHx.InjCause88",0.0635562086700955,0.244005512541637
"arr_statusComa",0.0933137398971345,0.290925041315011
"arr_statusDrowsy",0.273328434974284,0.445749926339566
"arr_statusSemicoma",0.199118295371051,0.399410574500407
"arr_statusStupor",0.168626010286554,0.374490054488591
"Upper_Lower_Extremities_imputedBoth Bilateral",0.251285819250551,0.433832226157767
"arr_pp_sizebilaterally mydriatic",0.0558412931667891,0.229657178185958
"arr_pp_promptbilateral absence",0.172299779573843,0.377710176397017
"head_neck_AIS4",0.237692872887583,0.425748238260729
"head_neck_AIS5",0.384276267450404,0.486513076902751
"EDHpresent",0.302351212343865,0.459360945068361
"contusionpresent",0.650624540778839,0.47686034400152
"SAHpresent",0.673769287288758,0.468918986048567
"IVHpresent",0.145113886847906,0.352280341059785
"MidlineShiftpresent",0.224467303453343,0.417307692536228
"basal_cistern_compressionpresent",0.210506980161646,0.407743632284154
"ns(Alk.Phosphatase, df = 4)1",0.463621906279201,0.282979150340634
"ns(Alk.Phosphatase, df = 4)2",0.038295928412651,0.238911437081137
"ns(Alk.Phosphatase, df = 4)3",0.252856186349444,0.15302418906695
"ns(Alk.Phosphatase, df = 4)4",-0.0919893536845079,0.161964461958519
"ns(CRP, df = 4)1",0.239063466631051,0.27331215889843
"ns(CRP, df = 4)2",0.0345076837548051,0.237073504266221
"ns(CRP, df = 4)3",0.248429693799656,0.178148618113573
"ns(CRP, df = 4)4",-0.0556323929614093,0.224254507891373
"ns(BUN, df = 4)1",0.660875513090532,0.287288223316536
"ns(BUN, df = 4)2",-0.0407241765255495,0.146505013789711
"ns(BUN, df = 4)3",0.19348293423548,0.169812243667705
"ns(BUN, df = 4)4",-0.0943606707093187,0.0914226775840133
"ns(Sodium, df = 4)1",0.512871094433365,0.259113334150769
"ns(Sodium, df = 4)2",0.106483513623151,0.252036561183682
"ns(Sodium, df = 4)3",0.21748721913109,0.121928508425358
"ns(Sodium, df = 4)4",-0.0791293171284754,0.128495454571817
"ns(aPTT, df = 4)1",0.575604785875267,0.29580560835616
"ns(aPTT, df = 4)2",-0.0109781575941366,0.193369361021516
"ns(aPTT, df = 4)3",0.223475565520811,0.165747692597999
"ns(aPTT, df = 4)4",-0.0895855874900563,0.138581326641794
"ns(Albumin, df = 4)1",0.474257489384584,0.266806257033407
"ns(Albumin, df = 4)2",0.150591914374865,0.264172521804137
"ns(Albumin, df = 4)3",0.21566173431637,0.118977264651751
"ns(Albumin, df = 4)4",-0.0720190411483982,0.131211499430128
