"feature","mean","sd"
"Age",55.1528925619835,17.9008919435146
"InjuryHx.InjCause1",0.413682277318641,0.492605993871304
"InjuryHx.InjCause3",0.0606060606060606,0.238661094551177
"InjuryHx.InjCause88",0.061524334251607,0.240344779153741
"arr_statusComa",0.09366391184573,0.291427483164709
"arr_statusDrowsy",0.273186409550046,0.445698105502345
"arr_statusSemicoma",0.19742883379247,0.398150063849928
"arr_statusStupor",0.16712580348944,0.373173830939723
"Upper_Lower_Extremities_imputedBoth Bilateral",0.249770431588613,0.432979489169229
"arr_pp_sizebilaterally mydriatic",0.0550964187327824,0.228220764583901
"arr_pp_promptbilateral absence",0.173094582185491,0.378415902878973
"head_neck_AIS4",0.241505968778696,0.428094591794131
"head_neck_AIS5",0.383838383838384,0.486430999879794
"EDHpresent",0.301652892561983,0.459080810358583
"contusionpresent",0.651056014692378,0.476745672237661
"SAHpresent",0.672176308539945,0.469527995429666
"IVHpresent",0.139118457300275,0.346149571276639
"MidlineShiftpresent",0.225895316804408,0.418266598278839
"basal_cistern_compressionpresent",0.210743801652893,0.407930454141778
"ns(Alk.Phosphatase, df = 4)1",0.458055817126943,0.283050122157917
"ns(Alk.Phosphatase, df = 4)2",0.0387767900148281,0.240966205426067
"ns(Alk.Phosphatase, df = 4)3",0.254990172167036,0.153257051527647
"ns(Alk.Phosphatase, df = 4)4",-0.0944376998119846,0.157277702252894
"ns(CRP, df = 4)1",0.240497406721978,0.274389381036809
"ns(CRP, df = 4)2",0.0336862455628507,0.235715010161461
"ns(CRP, df = 4)3",0.247550974667482,0.178897553704732
"ns(CRP, df = 4)4",-0.0561962052491931,0.223529612293469
"ns(BUN, df = 4)1",0.658756497230545,0.287400304108472
"ns(BUN, df = 4)2",-0.0413501692823111,0.147289322269444
"ns(BUN, df = 4)3",0.195259981218968,0.170619413808118
"ns(BUN, df = 4)4",-0.0953707551369531,0.0906715747472747
"ns(Sodium, df = 4)1",0.507530390484936,0.260343027987026
"ns(Sodium, df = 4)2",0.104617364352888,0.252887260305658
"ns(Sodium, df = 4)3",0.219441178921926,0.122875521797467
"ns(Sodium, df = 4)4",-0.0791300920963634,0.133072178184482
"ns(aPTT, df = 4)1",0.573503646537967,0.297086055353165
"ns(aPTT, df = 4)2",-0.0110641747233909,0.194001526195238
"ns(aPTT, df = 4)3",0.224155856758009,0.166495307652284
"ns(aPTT, df = 4)4",-0.0905132961269158,0.137330561422942
"ns(Albumin, df = 4)1",0.472982401850754,0.265704116017882
"ns(Albumin, df = 4)2",0.14821522381345,0.265319427210485
"ns(Albumin, df = 4)3",0.21697798962745,0.119017050782278
"ns(Albumin, df = 4)4",-0.0734991178211846,0.131141566156342
