"feature","mean","sd"
"Age",55.5129757785467,17.7241912090263
"arr_statusComa",0.0891003460207613,0.284950160543598
"arr_statusDrowsy",0.26643598615917,0.442190484165405
"arr_statusSemicoma",0.194204152249135,0.395672357256482
"arr_statusStupor",0.173442906574394,0.378711629985322
"InjuryHx.InjCause1",0.403546712802768,0.490714699223685
"InjuryHx.InjCause3",0.0588235294117647,0.23534501956602
"InjuryHx.InjCause88",0.0670415224913495,0.2501479994756
"arr_pp_sizebilaterally mydriatic",0.0557958477508651,0.229576713991547
"arr_pp_promptbilateral absence",0.164359861591695,0.370681977945146
"head_neck_AIS4",0.232266435986159,0.422369387570473
"head_neck_AIS5",0.378460207612457,0.485108096345796
