"feature","mean","sd"
"Age",55.5465559016961,17.8479068761145
"arr_GCS_derived",10.5392869505019,4.39165472331738
"InjuryHx.InjCause1",0.406715126341295,0.49130589683222
"InjuryHx.InjCause3",0.0598823122187608,0.237309742999797
"InjuryHx.InjCause88",0.0674974039460021,0.250924886283281
"arr_pp_sizebilaterally mydriatic",0.0533056420906888,0.224681161534183
"arr_pp_promptbilateral absence",0.165455174800969,0.37165517820121
"head_neck_AIS4",0.240567670474213,0.427502194605025
"head_neck_AIS5",0.382139148494289,0.485994418500684
"EDHpresent",0.298719280027691,0.457775718552088
"SAHpresent",0.673243336794739,0.469108643015983
"DAIpresent",0.0256143994461751,0.158009316366194
"ns(aPTT, df = 4)1",0.568733754959243,0.297470898619528
"ns(aPTT, df = 4)2",-0.0178268077434675,0.192068073388876
"ns(aPTT, df = 4)3",0.227402726367103,0.164985464697914
"ns(aPTT, df = 4)4",-0.0923387731130164,0.135957698011615
"ns(CRP, df = 4)1",0.243766691829156,0.276461515107681
"ns(CRP, df = 4)2",0.0356247228411397,0.235927720508572
"ns(CRP, df = 4)3",0.244807301156359,0.175887586686294
"ns(CRP, df = 4)4",-0.0551815497451099,0.220145121451489
"ns(AST, df = 4)1",0.411588170543996,0.323551137223252
"ns(AST, df = 4)2",-0.036585253400229,0.215961098898364
"ns(AST, df = 4)3",0.284526010953707,0.177947415320991
"ns(AST, df = 4)4",-0.0848232142172584,0.218605920897928
"ns(Platelet, df = 4)1",0.618700069653403,0.246277288449239
"ns(Platelet, df = 4)2",0.0267460591955467,0.196474407961839
"ns(Platelet, df = 4)3",0.197283442236681,0.145581315490198
"ns(Platelet, df = 4)4",-0.0937791408023315,0.0840153376270317
"ns(Sodium, df = 4)1",0.508595926255584,0.260784145577071
"ns(Sodium, df = 4)2",0.104772126742508,0.252149741199052
"ns(Sodium, df = 4)3",0.21852783903153,0.122574613469354
"ns(Sodium, df = 4)4",-0.0795816953229008,0.129359373659391
