"term","key","idx","value"
"aPTT","df",NA,"4"
"aPTT","knots",1,"28"
"aPTT","knots",2,"31"
"aPTT","knots",3,"34"
"aPTT","Boundary.knots",1,"20"
"aPTT","Boundary.knots",2,"100"
"aPTT","intercept",NA,"FALSE"
"CRP","df",NA,"4"
"CRP","knots",1,"0.16"
"CRP","knots",2,"1.62"
"CRP","knots",3,"7.2525"
"CRP","Boundary.knots",1,"0.02"
"CRP","Boundary.knots",2,"30"
"CRP","intercept",NA,"FALSE"
"AST","df",NA,"4"
"AST","knots",1,"25.75"
"AST","knots",2,"34"
"AST","knots",3,"54"
"AST","Boundary.knots",1,"15"
"AST","Boundary.knots",2,"300"
"AST","intercept",NA,"FALSE"
"Platelet","df",NA,"4"
"Platelet","knots",1,"165"
"Platelet","knots",2,"205.5"
"Platelet","knots",3,"246"
"Platelet","Boundary.knots",1,"21"
"Platelet","Boundary.knots",2,"716"
"Platelet","intercept",NA,"FALSE"
"Sodium","df",NA,"4"
"Sodium","knots",1,"138"
"Sodium","knots",2,"140"
"Sodium","knots",3,"142"
"Sodium","Boundary.knots",1,"128"
"Sodium","Boundary.knots",2,"148"
"Sodium","intercept",NA,"FALSE"
