"feature","mean","sd"
"Age",55.5129757785467,17.7241912090263
"arr_statusComa",0.0891003460207613,0.284950160543598
"arr_statusDrowsy",0.26643598615917,0.442190484165405
"arr_statusSemicoma",0.194204152249135,0.395672357256482
"arr_statusStupor",0.173442906574394,0.378711629985322
"InjuryHx.InjCause1",0.403546712802768,0.490714699223685
"InjuryHx.InjCause3",0.0588235294117647,0.23534501956602
"InjuryHx.InjCause88",0.0670415224913495,0.2501479994756
"arr_pp_sizebilaterally mydriatic",0.0557958477508651,0.229576713991547
"arr_pp_promptbilateral absence",0.164359861591695,0.370681977945146
"head_neck_AIS4",0.232266435986159,0.422369387570473
"head_neck_AIS5",0.378460207612457,0.485108096345796
"EDHpresent",0.300173010380623,0.458432191175099
"SAHpresent",0.663927335640138,0.472466272835267
"DAIpresent",0.0237889273356401,0.152423958663384
"ns(aPTT, df = 4)1",0.574171911847743,0.296578103424452
"ns(aPTT, df = 4)2",-0.0194345424131909,0.188945238874499
"ns(aPTT, df = 4)3",0.225234953698574,0.165179638565974
"ns(aPTT, df = 4)4",-0.092231172751405,0.135532083845194
"ns(CRP, df = 4)1",0.243747491721145,0.276794423329477
"ns(CRP, df = 4)2",0.0335592544227808,0.235169376578742
"ns(CRP, df = 4)3",0.246061516168117,0.175902371724173
"ns(CRP, df = 4)4",-0.0578104905674414,0.217646059261477
"ns(Platelet, df = 4)1",0.619779294171765,0.245836305853449
"ns(Platelet, df = 4)2",0.0268778891509606,0.195868006579559
"ns(Platelet, df = 4)3",0.196669181746427,0.144984378789555
"ns(Platelet, df = 4)4",-0.0934216989971389,0.0842801897415159
"ns(AST, df = 4)1",0.40750061482485,0.322664198300996
"ns(AST, df = 4)2",-0.0343037129613357,0.219205648628909
"ns(AST, df = 4)3",0.286092882570699,0.176909111122272
"ns(AST, df = 4)4",-0.0840744883354923,0.220519180666823
"ns(Sodium, df = 4)1",0.50659486220959,0.26057711698765
"ns(Sodium, df = 4)2",0.106174708958841,0.253036689605293
"ns(Sodium, df = 4)3",0.218572449568932,0.122562860574102
"ns(Sodium, df = 4)4",-0.0790552972244282,0.12947893922346
